englishName,fourCode,sciName,sixCode
Village Weaver,VIWE,Ploceus cucullatus,PLOCUC
Violaceous Quail-Dove,VIQD,Geotrygon violacea,GEOVIO
Violet Sabrewing,VISA,Campylopterus hemileucurus,CAMHEM
Violet-bellied Hummingbird,VBHU,Chlorestes julie,CHLJUL
Violet-capped Hummingbird,VCAH,Goldmania violiceps,GOLVIO
Violet-crowned Hummingbird,VCHU,Leucolia violiceps,LEUVIO
Violet-green Swallow,VGSW,Tachycineta thalassina,TACTHA
Violet-headed Hummingbird,VHHU,Klais guimeti,KLAGUI
Virginia Rail,VIRA,Rallus limicola,RALLIM
Virginia's Warbler,VIWA,Leiothlypis virginiae,LEIVIR
Viridian Dacnis,VIDA,Dacnis viguieri,DACVIG
Vitelline Warbler,VITW,Setophaga vitellina,SETVIT
Volcano Hummingbird,VOHU,Selasphorus flammula,SELFLA
Volcano Junco,VOJU,Junco vulcani,JUNVUL
Wandering Albatross,WAAL,Diomedea exulans,DIOEXU
Wandering Tattler,WATA,Tringa incana,TRIINC
Warbling Vireo,WAVI,Vireo gilvus,VIRGIL
Warbling White-eye,WAWE,Zosterops japonicus,ZOSJAP
Wattled Jacana,WAJA,Jacana jacana,JACJAC
Waved Albatross,WAVA,Phoebastria irrorata,PHOIRR
Wedge-billed Woodcreeper,WBWO,Glyphorynchus spirurus,GLYSPI
Wedge-rumped Storm-Petrel,WRSP,Hydrobates tethys,HYDTET
Wedge-tailed Grass-Finch,WTGF,Emberizoides herbicola,EMBHER
Wedge-tailed Sabrewing,WTSA,Pampa curvipennis,PAMCUR
Wedge-tailed Shearwater,WTSH,Ardenna pacifica,ARDPAC
West Indian Whistling-Duck,WIWD,Dendrocygna arborea,DENARB
West Indian Woodpecker,WIWO,Melanerpes superciliaris,MELSUP
West Mexican Chachalaca,WMCH,Ortalis poliocephala,ORTPOL
West Mexican Euphonia,WMEU,Euphonia godmani,EUPGOD
Western Bluebird,WEBL,Sialia mexicana,SIAMEX
Western Chat-Tanager,WECT,Calyptophilus tertius,CALTER
Western Flycatcher,WEFL,Empidonax difficilis/occidentalis,EMPDIO
Western Grebe,WEGR,Aechmophorus occidentalis,AECOCC
Western Gull,WEGU,Larus occidentalis,LAROCC
Western Kingbird,WEKI,Tyrannus verticalis,TYRVER
Western Marsh Harrier,WMHA,Circus aeruginosus,CIRAER
Western Meadowlark,WEME,Sturnella neglecta,STUNEG
Western Palm Warbler,WPWA,Setophaga palmarum palmarum,SETPPA
Western Reef-Heron,WERH,Egretta gularis,EGRGUL
Western Sandpiper,WESA,Calidris mauri,CALMAU
Western Screech-Owl,WESO,Megascops kennicottii,MEGKEN
Western Spindalis,WESP,Spindalis zena,SPIZEN
Western Tanager,WETA,Piranga ludoviciana,PIRLUD
Western Water-Rail,WEWR,Rallus aquaticus,RALAQU
Western Wood-Pewee,WEWP,Contopus sordidulus,CONSOR
Western X Glaucous-winged Gull Hybrid,WGWH,Larus occidentalis x glaucescens,LAROCG
Western X Mountain Bluebird Hybrid,WMBH,Sialia mexicana x currucoides,SIAMEC
Whimbrel,WHIM,Numenius phaeopus,NUMPHA
Whiskered Auklet,WHAU,Aethia pygmaea,AETPYG
Whiskered Screech-Owl,WHSO,Megascops trichopsis,MEGTRI
Whiskered Tern,WHST,Chlidonias hybrida,CHLHYB
Whistling Heron,WHHE,Syrigma sibilatrix,SYRSIB
Whistling Swan,WHSW,Cygnus columbianus columbianus,CYGCCO
Whistling Warbler,WHIW,Catharopeza bishopi,CATBIS
White Hawk,WHHA,Pseudastur albicollis,PSEALB
White Ibis,WHIB,Eudocimus albus,EUDALB
White Tern,WHTT,Gygis alba,GYGALB
White Wagtail,WHWA,Motacilla alba,MOTALB
White's Thrush,WHTH,Zoothera aurea,ZOOAUR
White-bellied Antbird,WBEA,Myrmeciza longipes,MYRLON
White-bellied Chachalaca,WBCH,Ortalis leucogastra,ORTLEU
White-bellied Emerald,WBEM,Chlorestes candida,CHLCAD
White-bellied Mountain-gem,WBMG,Lampornis hemileucus,LAMHEM
White-bellied Wren,WBWR,Uropsila leucogastra,UROLEU
White-breasted Nuthatch,WBNU,Sitta carolinensis,SITCAR
White-breasted Thrasher,WBTH,Ramphocinclus brachyurus,RAMBRA
White-breasted Wood-Wren,WBWW,Henicorhina leucosticta,HENLES
White-browed Gnatcatcher,WBGN,Polioptila bilineata,POLBIL
White-capped Albatross,WCAL,Thalassarche cauta,THACAU
White-cheeked Pintail,WCHP,Anas bahamensis,ANABAH
White-chinned Petrel,WCPE,Procellaria aequinoctialis,PROAEQ
White-chinned Swift,WCHS,Cypseloides cryptus,CYPCRY
White-chinned Thrush,WCTH,Turdus aurantius,TURAUR
White-collared Manakin,WCOM,Manacus candei,MANCAN
White-collared Swift,WCSW,Streptoprocne zonaris,STRZON
White-cr. X Golden-cr. Sparrow Hybrid,WGSH,Zonotrichia leucophrys x atricapilla,ZONLEA
White-crested Coquette,WCCO,Lophornis adorabilis,LOPADO
White-crested Elaenia,WCEL,Elaenia albiceps,ELAALB
White-crowned Manakin,WCRM,Pseudopipra pipra,PSEPIP
White-crowned Parrot,WCPA,Pionus senilis,PIOSEN
White-crowned Pigeon,WCPI,Patagioenas leucocephala,PATLEU
White-crowned Sparrow,WCSP,Zonotrichia leucophrys,ZONLEU
White-eared Conebill,WECO,Conirostrum leucogenys,CONLEU
White-eared Ground-Sparrow,WEGS,Melozone leucotis,MELLEU
White-eared Hummingbird,WEHU,Basilinna leucotis,BASLEU
White-eyed Thrush,WETH,Turdus jamaicensis,TURJAM
White-eyed Vireo,WEVI,Vireo griseus,VIRGRI
White-faced Ground-Sparrow,WFGS,Melozone biarcuata,MELBIA
White-faced Ibis,WFIB,Plegadis chihi,PLECHI
White-faced Quail-Dove,WFAQ,Zentrygon albifacies,ZENALB
White-faced Storm-Petrel,WFSP,Pelagodroma marina,PELMAR
White-faced Whistling-Duck,WFWD,Dendrocygna viduata,DENVID
White-flanked Antwren,WFLA,Myrmotherula axillaris,MYRAXI
White-fringed Antwren,WFRA,Formicivora grisea,FORGRI
White-fronted Nunbird,WFNU,Monasa morphoeus,MONMOR
White-fronted Parrot,WFPA,Amazona albifrons,AMAALB
White-fronted Quail-Dove,WFRQ,Geotrygon leucometopia,GEOLEU
White-fronted Swift,WFSW,Cypseloides storeri,CYPSTO
White-headed Woodpecker,WHWO,Dryobates albolarvatus,DRYALB
White-headed Wren,WHWR,Campylorhynchus albobrunneus,CAMALB
White-lined Tanager,WLTA,Tachyphonus rufus,TACRUF
White-lored Gnatcatcher,WLGN,Polioptila albiloris,POLALL
White-naped Brushfinch,WNBR,Atlapetes albinucha,ATLALB
White-naped Swift,WNSW,Streptoprocne semicollaris,STRSEM
White-necked Crow,WNCR,Corvus leucognaphalus,CORLEU
White-necked Jacobin,WNJA,Florisuga mellivora,FLOMEL
White-necked Petrel,WNPE,Pterodroma cervicalis,PTECER
White-necked Puffbird,WNPU,Notharchus hyperrhynchus,NOTHYP
White-ringed Flycatcher,WRFL,Conopias albovittatus,CONALB
White-ruffed Manakin,WRMA,Corapipo altera,CORALT
White-rumped Sandpiper,WRSA,Calidris fuscicollis,CALFUS
White-rumped Shama,WRSH,Copsychus malabaricus,COPMAL
White-shouldered Tanager,WSTA,Loriotus luctuosus,LORLUC
White-striped Woodcreeper,WSWO,Lepidocolaptes leucogaster,LEPLEU
White-tailed Eagle,WTEA,Haliaeetus albicilla,HALALB
White-tailed Emerald,WTEM,Microchera chionura,MICCHI
White-tailed Hawk,WTHA,Geranoaetus albicaudatus,GERALB
White-tailed Hummingbird,WTAH,Eupherusa poliocerca,EUPPOL
White-tailed Kite,WTKI,Elanus leucurus,ELALEU
White-tailed Nightjar,WTNI,Hydropsalis cayennensis,HYDCAY
White-tailed Ptarmigan,WTPT,Lagopus leucura,LAGLEU
White-tailed Trogon,WTAT,Trogon chionurus,TROCHI
White-tailed Tropicbird,WTTR,Phaethon lepturus,PHALEP
White-thighed Swallow,WTGS,Atticora tibialis,ATTTIB
White-throated Crake,WTCR,Laterallus albigularis,LATALB
White-throated Flycatcher,WTFL,Empidonax albigularis,EMPALB
White-throated Jay,WTJA,Cyanolyca mirabilis,CYAMIR
White-throated Magpie-Jay,WTMJ,Calocitta formosa,CALFOR
White-throated Mountain-gem,WTMG,Lampornis castaneoventris,LAMCAS
White-throated Needletail,WTNE,Hirundapus caudacutus,HIRCAU
White-throated Shrike-Tanager,WTST,Lanio leucothorax,LANLEU
White-throated Spadebill,WTRS,Platyrinchus mystaceus,PLAMYS
White-throated Sparrow,WTSP,Zonotrichia albicollis,ZONALB
White-throated Swift,WTSW,Aeronautes saxatalis,AERSAX
White-throated Thrush,WTTH,Turdus assimilis,TURASS
White-throated Towhee,WTTO,Melozone albicollis,MELALB
White-tipped Dove,WTDO,Leptotila verreauxi,LEPVEX
White-tipped Sicklebill,WTSI,Eutoxeres aquila,EUTAQU
White-vented Euphonia,WVEU,Euphonia minuta,EUPMIN
White-vented Plumeleteer,WVPL,Chalybura buffonii,CHABUF
White-whiskered Puffbird,WWPU,Malacoptila panamensis,MALPAN
White-winged Becard,WWBE,Pachyramphus polychopterus,PACPOL
White-winged Crossbill,WWCR,Loxia leucoptera,LOXLEU
White-winged Dove,WWDO,Zenaida asiatica,ZENASI
White-winged Junco,WWJU,Junco hyemalis aikeni,JUNHAI
White-winged Parakeet,WWPA,Brotogeris versicolurus,BROVER
White-winged Scoter,WWSC,Melanitta deglandi,MELDEG
White-winged Tanager,WWTA,Piranga leucoptera,PIRLEU
White-winged Tern,WWTE,Chlidonias leucopterus,CHLLEU
White-winged Warbler,WWWA,Xenoligea montana,XENMON
Whooper Swan,WHOS,Cygnus cygnus,CYGCYG
Whooping Crane,WHCR,Grus americana,GRUAME
Whooping Motmot,WHMO,Momotus subrufescens,MOMSUB
Wild Turkey,WITU,Meleagris gallopavo,MELGAL
Willet,WILL,Tringa semipalmata,TRISEM
Williamson's Sapsucker,WISA,Sphyrapicus thyroideus,SPHTHY
Willow Flycatcher,WIFL,Empidonax traillii,EMPTRA
Willow Ptarmigan,WIPT,Lagopus lagopus,LAGLAG
Willow Warbler,WILW,Phylloscopus trochilus,PHYTRO
Wilson's Phalarope,WIPH,Phalaropus tricolor,PHATRI
Wilson's Plover,WIPL,Charadrius wilsonia,CHAWIL
Wilson's Snipe,WISN,Gallinago delicata,GALDEL
Wilson's Storm-Petrel,WISP,Oceanites oceanicus,OCEOCE
Wilson's Warbler,WIWA,Cardellina pusilla,CARPUS
Wine-throated Hummingbird,WTHH,Selasphorus ellioti,SELELL
Wing-banded Antbird,WBAA,Myrmornis torquata,MYRTOR
Winter Wren,WIWR,Troglodytes hiemalis,TROHIE
Wood Duck,WODU,Aix sponsa,AIXSPO
Wood Sandpiper,WOSA,Tringa glareola,TRIGLA
Wood Stork,WOST,Mycteria americana,MYCAME
Wood Thrush,WOTH,Hylocichla mustelina,HYLMUS
Wood Warbler,WOWA,Phylloscopus sibilatrix,PHYSIB
Woodhouse's Scrub-Jay,WOSJ,Aphelocoma woodhouseii,APHWOO
Worm-eating Warbler,WEWA,Helmitheros vermivorum,HELVER
Worthen's Sparrow,WOSP,Spizella wortheni,SPIWOR
Wrenthrush,WRET,Zeledonia coronata,ZELCOR
Wrentit,WREN,Chamaea fasciata,CHAFAS
Xantus's Hummingbird,XAHU,Basilinna xantusii,BASXAN
Yellow Bittern,YEBI,Ixobrychus sinensis,IXOSIN
Yellow Grosbeak,YEGR,Pheucticus chrysopeplus,PHECHR
Yellow Palm Warbler,YPWA,Setophaga palmarum hypochrysea,SETPHY
Yellow Rail,YERA,Coturnicops noveboracensis,COTNOV
Yellow Tyrannulet,YETY,Capsiempis flaveola,CAPFLA
Yellow Warbler,YEWA,Setophaga petechia,SETPET
Yellow-backed Oriole,YBOR,Icterus chrysater,ICTCHR
Yellow-backed Tanager,YBTA,Hemithraupis flavicollis,HEMFLA
Yellow-bellied Elaenia,YBEL,Elaenia flavogaster,ELAFLA
Yellow-bellied Flycatcher,YBFL,Empidonax flaviventris,EMPFLT
Yellow-bellied Sapsucker,YBSA,Sphyrapicus varius,SPHVAR
Yellow-bellied Seedeater,YBSE,Sporophila nigricollis,SPONIG
Yellow-bellied Siskin,YBSI,Spinus xanthogastrus,SPIXAN
Yellow-bellied Tyrannulet,YBTY,Ornithion semiflavum,ORNSEM
Yellow-billed Cacique,YBIC,Amblycercus holosericeus,AMBHOL
Yellow-billed Cardinal,YBCA,Paroaria capitata,PARCAP
Yellow-billed Cotinga,YBCO,Carpodectes antoniae,CARANT
Yellow-billed Cuckoo,YBCU,Coccyzus americanus,COCAME
Yellow-billed Loon,YBLO,Gavia adamsii,GAVADA
Yellow-billed Magpie,YBMA,Pica nuttalli,PICNUT
Yellow-billed Parrot,YBPA,Amazona collaria,AMACOL
Yellow-billed Tern,YBTE,Sternula superciliaris,STESUP
Yellow-breasted Bunting,YBSB,Emberiza aureola,EMBAUR
Yellow-breasted Chat,YBCH,Icteria virens,ICTVIR
Yellow-breasted Crake,YBCR,Hapalocrex flaviventer,HAPFLA
Yellow-breasted Flycatcher,YBRF,Tolmomyias flaviventris,TOLFLA
Yellow-browed Bunting,YBWB,Emberiza chrysophrys,EMBCHR
Yellow-browed Shrike-Vireo,YBSV,Vireolanius eximius,VIREXI
Yellow-browed Warbler,YBWA,Phylloscopus inornatus,PHYINO
Yellow-chevroned Parakeet,YCPA,Brotogeris chiriri,BROCHI
Yellow-collared Chlorophonia,YCCH,Chlorophonia flavirostris,CHPFLA
Yellow-crowned Bishop,YCBI,Euplectes afer,EUPAFE
Yellow-crowned Euphonia,YCEU,Euphonia luteicapilla,EUPLUT
Yellow-crowned Night-Heron,YCNH,Nyctanassa violacea,NYCVIO
Yellow-crowned Parrot,YCRP,Amazona ochrocephala,AMAOCH
Yellow-crowned Tyrannulet,YCTY,Tyrannulus elatus,TYRELA
Yellow-eared Toucanet,YETO,Selenidera spectabilis,SELSPT
Yellow-eyed Junco,YEJU,Junco phaeonotus,JUNPHA
Yellow-faced Grassquit,YFGR,Tiaris olivaceus,TIAOLI
Yellow-footed Gull,YFGU,Larus livens,LARLIV
Yellow-fronted Canary,YFCA,Crithagra mozambica,CRIMOZ
Yellow-green Brushfinch,YGBR,Atlapetes luteoviridis,ALTLUT
Yellow-green Grosbeak,YGGR,Caryothraustes canadensis,CATCAN
Yellow-green Tyrannulet,YGTY,Phylloscartes flavovirens,PHYFLA
Yellow-green Vireo,YGVI,Vireo flavoviridis,VIRFLD
Yellow-headed Blackbird,YHBL,Xanthocephalus xanthocephalus,XANXAN
Yellow-headed Caracara,YHCA,Milvago chimachima,MILCHI
Yellow-headed Parrot,YHPA,Amazona oratrix,AMAORA
Yellow-headed Warbler,YHWA,Teretistris fernandinae,TERFER
Yellow-hooded Blackbird,YHOB,Chrysomus icterocephalus,CHRICT
Yellow-legged Gull,YLGU,Larus michahellis,LARMIC
Yellow-lored Parrot,YLPA,Amazona xantholora,AMAXAN
Yellow-margined Flycatcher,YMFL,Tolmomyias assimilis,TOLASS
Yellow-naped Parrot,YNPA,Amazona auropalliata,AMAAUR
Yellow-nosed Albatross,YNAL,Thalassarche chlororhynchos,THACHL
Yellow-olive Flycatcher,YOFL,Tolmomyias sulphurescens,TOLSUL
Yellow-rumped Cacique,YRCA,Cacicus cela,CACCEL
Yellow-rumped Warbler,YRWA,Setophaga coronata,SETCOR
Yellow-shafted Flicker,YSFL,Colaptes auratus auratus,COLAAU
Yellow-shouldered Blackbird,YSBL,Agelaius xanthomus,AGEXAN
Yellow-shouldered Grassquit,YSGR,Loxipasser anoxanthus,LOXANO
Yellow-tailed Oriole,YTOR,Icterus mesomelas,ICTMES
Yellow-thighed Brushfinch,YTBR,Atlapetes tibialis,ALTTIB
Yellow-throated Bunting,YTBU,Emberiza elegans,EMBELE
Yellow-throated Chlorospingus,YTCH,Chlorospingus flavigularis,CHLFLG
Yellow-throated Euphonia,YTEU,Euphonia hirundinacea,EUPHIR
Yellow-throated Nightingale-Thrush,YTNT,Catharus dryas,CATDRY
Yellow-throated Toucan,YTTO,Ramphastos ambiguus,RAMAMB
Yellow-throated Vireo,YTVI,Vireo flavifrons,VIRFLF
Yellow-throated Warbler,YTWA,Setophaga dominica,SETDOM
Yellow-winged Cacique,YWCA,Cassiculus melanicterus,CASMEL
Yellow-winged Tanager,YWTA,Thraupis abbas,THRABB
Yellow-winged Vireo,YWVI,Vireo carmioli,VIRCAM
Yellowish Flycatcher,YEFL,Empidonax flavescens,EMPFLC
Yellowish Pipit,YEPI,Anthus lutescens,ANTLUT
Yucatan Flycatcher,YUFL,Myiarchus yucatanensis,MYIYUC
Yucatan Gnatcatcher,YUGN,Polioptila albiventris,POLALV
Yucatan Jay,YUJA,Cyanocorax yucatanicus,CYAYUC
Yucatan Nightjar,YUNI,Antrostomus badius,ANTBAD
Yucatan Poorwill,YUPO,Nyctiphrynus yucatanicus,NYCYUC
Yucatan Vireo,YUVI,Vireo magister,VIRMAG
Yucatan Woodpecker,YUWO,Melanerpes pygmaeus,MELPYG
Yucatan Wren,YUWR,Campylorhynchus yucatanicus,CAMYUC
Zapata Rail,ZARA,Cyanolimnas cerverai,CYACER
Zapata Sparrow,ZASP,Torreornis inexpectata,TORINE
Zapata Wren,ZAWR,Ferminia cerverai,FERCER
Zebra Dove,ZEBD,Geopelia striata,GEOSTR
Zeledon's Antbird,ZEAN,Myrmeciza zeledoni,MYRZEL
Zenaida Dove,ZEND,Zenaida aurita,ZENAUT
Zino's Petrel,ZIPE,Pterodroma madeira,PTEMAD
Zone-tailed Hawk,ZTHA,Buteo albonotatus,BUTALB